cd,name,lat,lng,type
1111618,白滝,43.884435,143.180795,1
1111619,旧白滝,43.919905,143.236729,2
1111620,下白滝,43.944553,143.276088,2
1111621,丸瀬布,44.006354,143.335817,1
1111622,瀬戸瀬,44.008753,143.420937,1
1111623,遠軽,44.060278,143.520667,1
1111624,安国,43.993322,143.535762,1
1111625,生野,43.959928,143.532945,1
1111626,生田原,43.923674,143.534627,1
1111627,金華,43.803484,143.57114,2
1111628,西留辺蘂,43.785345,143.603257,1
1111629,留辺蘂,43.785534,143.621394,1
1111630,相内,43.795948,143.756449,1
1111631,東相内,43.805466,143.809499,1
1111632,西北見,43.803114,143.841586,1
1111633,北見,43.805504,143.898167,1
1111634,柏陽,43.824911,143.916737,1
1111635,愛し野,43.841426,143.932962,1
1111636,端野,43.851172,143.942336,1
1111637,緋牛内,43.880431,143.999887,1
1111638,美幌,43.836967,144.10563,1
1111639,西女満別,43.880057,144.148372,1
1111640,女満別,43.915886,144.170665,1
1111641,呼人,43.963695,144.218945,1
1111642,網走,44.019873,144.254156,1
1111702,桂台,44.016913,144.273223,1
1111703,鱒浦,43.982481,144.296526,1
1111704,藻琴,43.968358,144.320079,1
1111705,北浜,43.958549,144.352541,1
1111706,原生花園,43.941033,144.41443,1
1111707,浜小清水,43.934077,144.453187,1
1111708,止別,43.921558,144.519818,1
1111709,知床斜里,43.910749,144.661647,1
1111710,中斜里,43.874608,144.659033,1
1111711,南斜里,43.867531,144.63431,1
1111712,清里町,43.83871,144.593948,1
1111713,札弦,43.786574,144.531526,1
1111714,緑,43.718282,144.505499,1
1111715,川湯温泉,43.616258,144.457749,1
1111716,美留和,43.555316,144.437656,1
1111717,摩周,43.487373,144.463981,1
1111718,南弟子屈,43.428656,144.514729,2
1111719,磯分内,43.379389,144.554322,1
1111720,標茶,43.298472,144.608434,1
1111721,五十石,43.238771,144.545558,2
1111722,茅沼,43.202097,144.503788,1
1111723,塘路,43.151739,144.496817,1
1111724,細岡,43.105055,144.469683,1
1111725,釧路湿原,43.100647,144.447799,1
1111726,遠矢,43.047878,144.458367,1
1111801,中小国,41.051702,140.596798,1
1111802,奥津軽いまべつ,41.144885,140.515625,1
1111803,竜飛海底,41.257228,140.347946,2
1111805,知内,41.601092,140.33494,2
1111806,木古内,41.677642,140.434004,1
1111901,江差,41.856727,140.127933,2
1111902,上ノ国,41.805567,140.124106,2
1111903,中須田,41.787214,140.149321,2
1111904,桂岡,41.773096,140.166071,2
1111905,宮越,41.762404,140.184998,2
1111906,湯ノ岱,41.750312,140.243698,2
1111907,神明,41.734481,140.265709,2
1111908,吉堀,41.684059,140.379226,2
1111909,渡島鶴岡,41.671014,140.41137,2
1111911,札苅,41.699271,140.468097,1
1111912,泉沢,41.700867,140.506797,1
1111913,釜谷,41.712153,140.53718,1
1111914,渡島当別,41.737309,140.579109,1
1111915,茂辺地,41.766604,140.600561,1
1111916,上磯,41.81956,140.640599,1
1111917,清川口,41.824615,140.652906,1
1111918,久根別,41.826727,140.666468,1
1111919,東久根別,41.826005,140.679731,1
1111920,七重浜,41.817643,140.707957,1
1120101,八戸,40.5092,141.431499,1
1120102,陸奥市川,40.563235,141.439308,1
1120103,下田,40.591958,141.407965,1
1120104,向山,40.629544,141.370392,1
1120105,三沢,40.669735,141.353649,1
1120106,小川原,40.709893,141.29972,1
1120107,上北町,40.732993,141.264801,1
1120108,乙供,40.780328,141.213039,1
1120109,千曳,40.804662,141.152876,1
1120110,野辺地,40.855142,141.119603,1
1120111,狩場沢,40.900335,141.071274,1
1120112,清水川,40.921801,141.02465,1
1120113,小湊,40.929703,140.953953,1
1120114,西平内,40.918138,140.913146,1
1120115,浅虫温泉,40.890976,140.862221,1
1120116,野内,40.846,140.81675,1
1120117,矢田前,40.833744,140.807151,1
1120118,小柳,40.818223,140.798149,1
1120119,東青森,40.810402,140.782143,1
1120120,青森,40.828668,140.734738,1
1120201,新庄,38.76256,140.306064,1
1120202,泉田,38.811758,140.310039,1
1120203,羽前豊里,38.836748,140.242247,1
1120204,真室川,38.858243,140.254814,1
1120205,釜淵,38.93281,140.263864,1
1120206,大滝,38.971485,140.320199,1
1120207,及位,38.992983,140.361164,1
1120208,院内,39.049706,140.4138,1
1120209,横堀,39.064533,140.45131,1
1120210,三関,39.110196,140.483796,1
1120211,上湯沢,39.134221,140.485262,1
1120212,湯沢,39.163443,140.487011,1
1120213,下湯沢,39.197196,140.50249,1
1120214,十文字,39.221186,140.526287,1
1120215,醍醐,39.248716,140.53853,1
